datetime,year,month,day,hour,demand_mw,baseline_load_mw,demand_surge_mw,outage_period_flag,peak_demand_in_period,min_demand_in_period,avg_baseline
2021-02-14 20:00:00,2021,2,14,20,69692.485103,42331.17587022807,27361.309232771928,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 21:00:00,2021,2,14,21,69324.246653,41967.49218668421,27356.754466315782,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 22:00:00,2021,2,14,22,68473.933536,40941.10521463158,27532.82832136842,1,69692.485103,33953.36042,39539.96555889257
2021-02-14 23:00:00,2021,2,14,23,67200.980366,39080.556060210525,28120.42430578948,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 00:00:00,2021,2,15,0,43704.29533,37135.69685387719,6568.59847612281,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 01:00:00,2021,2,15,1,65777.076873,35786.84865494737,29990.22821805263,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 02:00:00,2021,2,15,2,63910.400987,35100.17627763158,28810.22470936842,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 03:00:00,2021,2,15,3,53982.965849,34877.255225140354,19105.710623859646,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 04:00:00,2021,2,15,4,54102.713938,35047.52129968421,19055.19263831579,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 05:00:00,2021,2,15,5,54522.956351,35919.61006805262,18603.34628294738,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 06:00:00,2021,2,15,6,51839.580303,38045.805104578954,13793.775198421048,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 07:00:00,2021,2,15,7,51147.725749,41270.49083533332,9877.234913666674,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 08:00:00,2021,2,15,8,51220.190685,42620.682086210516,8599.508598789485,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 09:00:00,2021,2,15,9,49646.298653,42497.762383403504,7148.536269596494,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 10:00:00,2021,2,15,10,49443.178556,42272.31935943859,7170.8591965614105,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 11:00:00,2021,2,15,11,48615.526793,41856.66013261403,6758.866660385967,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 12:00:00,2021,2,15,12,47548.021149,41213.29881550878,6334.72233349122,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 13:00:00,2021,2,15,13,46197.976353,40532.008043877184,5665.968309122814,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 14:00:00,2021,2,15,14,45423.548422,40049.10537268421,5374.443049315792,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 15:00:00,2021,2,15,15,45100.613416,39598.17088292982,5502.442533070178,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 16:00:00,2021,2,15,16,45416.829174,39352.67713650876,6064.152037491236,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 17:00:00,2021,2,15,17,45767.295561,39539.544454228075,6227.751106771924,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 18:00:00,2021,2,15,18,45425.706062,40170.26836966667,5255.437692333326,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 19:00:00,2021,2,15,19,45061.706964,41752.942725350884,3308.7642386491134,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 20:00:00,2021,2,15,20,44257.28719,42331.17587022807,1926.1113197719314,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 21:00:00,2021,2,15,21,44364.43861,41967.49218668421,2396.946423315785,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 22:00:00,2021,2,15,22,44894.440621,40941.10521463158,3953.3354063684237,1,69692.485103,33953.36042,39539.96555889257
2021-02-15 23:00:00,2021,2,15,23,44100.045238,39080.556060210525,5019.489177789474,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 00:00:00,2021,2,16,0,42691.436944,37135.69685387719,5555.74009012281,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 01:00:00,2021,2,16,1,44070.049205,35786.84865494737,8283.200550052636,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 02:00:00,2021,2,16,2,44524.149217,35100.17627763158,9423.972939368417,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 03:00:00,2021,2,16,3,45258.653616,34877.255225140354,10381.39839085965,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 04:00:00,2021,2,16,4,46108.298213,35047.52129968421,11060.776913315793,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 05:00:00,2021,2,16,5,45598.004043,35919.61006805262,9678.39397494738,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 06:00:00,2021,2,16,6,45681.929107,38045.805104578954,7636.124002421049,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 07:00:00,2021,2,16,7,46501.874959,41270.49083533332,5231.384123666678,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 08:00:00,2021,2,16,8,46796.657772,42620.682086210516,4175.975685789483,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 09:00:00,2021,2,16,9,45855.51056,42497.762383403504,3357.7481765964985,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 10:00:00,2021,2,16,10,44947.878382,42272.31935943859,2675.559022561414,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 11:00:00,2021,2,16,11,44196.114473,41856.66013261403,2339.4543403859716,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 12:00:00,2021,2,16,12,44291.851022,41213.29881550878,3078.552206491222,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 13:00:00,2021,2,16,13,44273.061604,40532.008043877184,3741.0535601228185,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 14:00:00,2021,2,16,14,43977.836466,40049.10537268421,3928.7310933157933,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 15:00:00,2021,2,16,15,45176.698462,39598.17088292982,5578.527579070178,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 16:00:00,2021,2,16,16,45569.701036,39352.67713650876,6217.023899491236,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 17:00:00,2021,2,16,17,46123.614773,39539.544454228075,6584.070318771926,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 18:00:00,2021,2,16,18,46562.49719,40170.26836966667,6392.22882033333,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 19:00:00,2021,2,16,19,45843.067482,41752.942725350884,4090.1247566491147,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 20:00:00,2021,2,16,20,45498.773019,42331.17587022807,3167.597148771929,1,69692.485103,33953.36042,39539.96555889257
2021-02-16 21:00:00,2021,2,16,21,45306.602154,41967.49218668421,3339.109967315788,1,69692.485103,33953.36042,39539.96555889257
