year,hour,season,avg_load_mw,avg_wind_mw,avg_solar_mw,net_load_mw,season_min_net_load,evening_peak_net_load,duck_curve_depth_mw
2015,14,winter,37117.13338925319,5211.981566820276,58.48374295954941,31846.66807947337,26988.149308802997,34810.01947284763,7821.870164044631
2015,15,winter,36604.299195044085,5211.981566820276,58.48374295954941,31333.83388526426,26988.149308802997,34810.01947284763,7821.870164044631
2015,16,winter,36362.67924352018,5211.981566820276,58.4837429595494,31092.213933740353,26988.149308802997,34810.01947284763,7821.870164044631
2015,17,winter,36569.36454300833,5211.981566820276,58.48374295954941,31298.8992332285,26988.149308802997,34810.01947284763,7821.870164044631
2015,18,winter,37835.69761217633,5211.981566820276,58.48374295954941,32565.23230239651,26988.149308802997,34810.01947284763,7821.870164044631
2015,19,winter,39815.98924247811,5211.981566820276,58.48374295954941,34545.52393269828,26988.149308802997,34810.01947284763,7821.870164044631
2015,20,winter,40080.48478262745,5211.981566820276,58.48374295954941,34810.01947284763,26988.149308802997,34810.01947284763,7821.870164044631
2015,21,winter,39688.76473033058,5211.981566820276,58.4837429595494,34418.29942055075,26988.149308802997,34810.01947284763,7821.870164044631
2015,22,winter,38621.88525237131,5211.981566820276,58.48374295954941,33351.419942591485,26988.149308802997,34810.01947284763,7821.870164044631
2015,23,winter,36684.412262650665,5211.981566820276,58.4837429595494,31413.946952870843,26988.149308802997,34810.01947284763,7821.870164044631
2016,0,shoulder,34649.20119960365,6690.397252090802,130.331541218638,27828.472406294215,22394.82290929428,37524.350916403964,15129.528007109686
2016,1,shoulder,32245.512376103263,6690.397252090802,130.331541218638,25424.783582793825,22394.82290929428,37524.350916403964,15129.528007109686
2016,2,shoulder,30692.033635610613,6690.397252090802,130.331541218638,23871.304842301175,22394.82290929428,37524.350916403964,15129.528007109686
2016,3,shoulder,29701.41897861706,6690.397252090802,130.331541218638,22880.690185307627,22394.82290929428,37524.350916403964,15129.528007109686
2016,4,shoulder,29215.551702603716,6690.397252090802,130.331541218638,22394.82290929428,22394.82290929428,37524.350916403964,15129.528007109686
2016,5,shoulder,29380.418706770015,6690.397252090802,130.331541218638,22559.689913460577,22394.82290929428,37524.350916403964,15129.528007109686
2016,6,shoulder,30704.33729500374,6690.397252090802,130.331541218638,23883.6085016943,22394.82290929428,37524.350916403964,15129.528007109686
2016,7,shoulder,33206.023157955446,6690.397252090802,130.331541218638,26385.294364646004,22394.82290929428,37524.350916403964,15129.528007109686
2016,8,shoulder,34261.39829240111,6690.3972520908,130.331541218638,27440.669499091662,22394.82290929428,37524.350916403964,15129.528007109686
2016,9,shoulder,35118.00349239719,6690.397252090802,130.331541218638,28297.27469908775,22394.82290929428,37524.350916403964,15129.528007109686
2016,10,shoulder,36678.75190255352,6690.397252090802,130.331541218638,29858.023109244084,22394.82290929428,37524.350916403964,15129.528007109686
2016,11,shoulder,38329.79032954605,6690.3972520908,130.331541218638,31509.061536236604,22394.82290929428,37524.350916403964,15129.528007109686
2016,12,shoulder,39801.28030402799,6690.397252090802,130.331541218638,32980.55151071855,22394.82290929428,37524.350916403964,15129.528007109686
2016,13,shoulder,41108.724629277,6690.397252090802,130.331541218638,34287.99583596756,22394.82290929428,37524.350916403964,15129.528007109686
2016,14,shoulder,42382.87340087331,6690.397252090802,130.331541218638,35562.144607563874,22394.82290929428,37524.350916403964,15129.528007109686
2016,15,shoulder,43339.36377742787,6690.3972520908,130.331541218638,36518.63498411842,22394.82290929428,37524.350916403964,15129.528007109686
2016,16,shoulder,43987.121753072315,6690.397252090802,130.331541218638,37166.39295976288,22394.82290929428,37524.350916403964,15129.528007109686
2016,17,shoulder,44345.079709713405,6690.397252090802,130.331541218638,37524.350916403964,22394.82290929428,37524.350916403964,15129.528007109686
2016,18,shoulder,44176.43411205042,6690.3972520908,130.331541218638,37355.70531874097,22394.82290929428,37524.350916403964,15129.528007109686
2016,19,shoulder,43415.45573318667,6690.3972520908,130.331541218638,36594.72693987723,22394.82290929428,37524.350916403964,15129.528007109686
2016,20,shoulder,42625.14938895181,6690.397252090802,130.331541218638,35804.420595642376,22394.82290929428,37524.350916403964,15129.528007109686
2016,21,shoulder,42078.72415544594,6690.397252090802,130.331541218638,35257.9953621365,22394.82290929428,37524.350916403964,15129.528007109686
2016,22,shoulder,40421.25401986727,6690.3972520908,130.331541218638,33600.52522655784,22394.82290929428,37524.350916403964,15129.528007109686
2016,23,shoulder,37654.038271439895,6690.397252090802,130.331541218638,30833.309478130453,22394.82290929428,37524.350916403964,15129.528007109686
2016,0,summer,45659.31127711111,5952.090800477898,141.3231780167264,39565.897298616495,30769.725544306217,54576.20469935867,23806.479155052453
2016,1,summer,42321.68821484242,5952.090800477898,141.32317801672642,36228.274236347796,30769.725544306217,54576.20469935867,23806.479155052453
2016,2,summer,39922.98396001955,5952.090800477898,141.32317801672642,33829.569981524925,30769.725544306217,54576.20469935867,23806.479155052453
2016,3,summer,38229.80526776541,5952.090800477898,141.3231780167264,32136.391289270792,30769.725544306217,54576.20469935867,23806.479155052453
2016,4,summer,37177.884321183,5952.090800477898,141.32317801672642,31084.47034268838,30769.725544306217,54576.20469935867,23806.479155052453
