datetime,year,month,day,hour,zone,load_mw
2021-02-01 14:00:00,2021,2,1,14,NCENT,12430.997488
2021-02-01 14:00:00,2021,2,1,14,NORTH,756.610252
2021-02-01 14:00:00,2021,2,1,14,COAST,11733.732679
2021-02-01 14:00:00,2021,2,1,14,FWEST,3649.258477
2021-02-01 14:00:00,2021,2,1,14,WEST,1082.997156
2021-02-01 14:00:00,2021,2,1,14,SCENT,5962.696405
2021-02-01 14:00:00,2021,2,1,14,TOTAL,40105.257252
2021-02-01 14:00:00,2021,2,1,14,EAST,1540.772519
2021-02-01 14:00:00,2021,2,1,14,SOUTH,2948.192275
2021-02-01 15:00:00,2021,2,1,15,NORTH,730.400532
2021-02-01 15:00:00,2021,2,1,15,FWEST,3634.941649
2021-02-01 15:00:00,2021,2,1,15,EAST,1483.966602
2021-02-01 15:00:00,2021,2,1,15,COAST,11622.896254
2021-02-01 15:00:00,2021,2,1,15,WEST,1028.579892
2021-02-01 15:00:00,2021,2,1,15,SCENT,5854.040238
2021-02-01 15:00:00,2021,2,1,15,SOUTH,2949.766452
2021-02-01 15:00:00,2021,2,1,15,NCENT,11987.664918
2021-02-01 15:00:00,2021,2,1,15,TOTAL,39292.256536
2021-02-01 16:00:00,2021,2,1,16,NORTH,716.026443
2021-02-01 16:00:00,2021,2,1,16,SCENT,5821.873986
2021-02-01 16:00:00,2021,2,1,16,EAST,1453.1568
2021-02-01 16:00:00,2021,2,1,16,FWEST,3649.596825
2021-02-01 16:00:00,2021,2,1,16,WEST,1013.951431
2021-02-01 16:00:00,2021,2,1,16,SOUTH,2928.680566
2021-02-01 16:00:00,2021,2,1,16,NCENT,11657.897241
2021-02-01 16:00:00,2021,2,1,16,TOTAL,38720.459848
2021-02-01 16:00:00,2021,2,1,16,COAST,11479.276555
2021-02-01 17:00:00,2021,2,1,17,NORTH,717.295148
2021-02-01 17:00:00,2021,2,1,17,NCENT,11655.076466
2021-02-01 17:00:00,2021,2,1,17,EAST,1473.2912
2021-02-01 17:00:00,2021,2,1,17,TOTAL,38683.641673
2021-02-01 17:00:00,2021,2,1,17,WEST,1016.942014
2021-02-01 17:00:00,2021,2,1,17,SOUTH,2866.94825
2021-02-01 17:00:00,2021,2,1,17,FWEST,3653.176532
2021-02-01 17:00:00,2021,2,1,17,SCENT,5905.87297
2021-02-01 17:00:00,2021,2,1,17,COAST,11395.039092
2021-02-01 18:00:00,2021,2,1,18,COAST,11428.609119
2021-02-01 18:00:00,2021,2,1,18,SCENT,6089.501849
2021-02-01 18:00:00,2021,2,1,18,EAST,1534.527185
2021-02-01 18:00:00,2021,2,1,18,NCENT,12059.025123
2021-02-01 18:00:00,2021,2,1,18,SOUTH,2853.227089
2021-02-01 18:00:00,2021,2,1,18,TOTAL,39396.193818
2021-02-01 18:00:00,2021,2,1,18,NORTH,733.907586
2021-02-01 18:00:00,2021,2,1,18,FWEST,3662.365015
2021-02-01 18:00:00,2021,2,1,18,WEST,1035.030853
2021-02-01 19:00:00,2021,2,1,19,NCENT,13009.784046
2021-02-01 19:00:00,2021,2,1,19,SCENT,6545.619777
2021-02-01 19:00:00,2021,2,1,19,TOTAL,41707.115355
2021-02-01 19:00:00,2021,2,1,19,FWEST,3724.491289
2021-02-01 19:00:00,2021,2,1,19,WEST,1108.790777
2021-02-01 19:00:00,2021,2,1,19,NORTH,790.953388
2021-02-01 19:00:00,2021,2,1,19,SOUTH,2995.199273
2021-02-01 19:00:00,2021,2,1,19,COAST,11827.317267
2021-02-01 19:00:00,2021,2,1,19,EAST,1704.959537
2021-02-01 20:00:00,2021,2,1,20,TOTAL,42509.839181
2021-02-01 20:00:00,2021,2,1,20,SOUTH,3061.506181
2021-02-01 20:00:00,2021,2,1,20,FWEST,3764.609778
2021-02-01 20:00:00,2021,2,1,20,SCENT,6693.53546
2021-02-01 20:00:00,2021,2,1,20,WEST,1144.540191
2021-02-01 20:00:00,2021,2,1,20,NCENT,13325.397373
2021-02-01 20:00:00,2021,2,1,20,COAST,11943.482052
2021-02-01 20:00:00,2021,2,1,20,NORTH,811.790913
2021-02-01 20:00:00,2021,2,1,20,EAST,1764.977232
2021-02-01 21:00:00,2021,2,1,21,NORTH,816.824235
2021-02-01 21:00:00,2021,2,1,21,SCENT,6643.804571
2021-02-01 21:00:00,2021,2,1,21,TOTAL,42451.041758
2021-02-01 21:00:00,2021,2,1,21,NCENT,13333.245567
2021-02-01 21:00:00,2021,2,1,21,WEST,1164.183199
2021-02-01 21:00:00,2021,2,1,21,COAST,11885.773915
2021-02-01 21:00:00,2021,2,1,21,EAST,1787.284184
