date,year,month,fuel_type,generation_mwh,pct_of_total_monthly
2018-12-01,2018,12,solar,246000.0,0.6638
2018-12-01,2018,12,other,527000.0,1.422
2019-01-01,2019,1,coal,8376000.0,21.531
2019-01-01,2019,1,natural_gas,19381000.0,49.8201
2019-01-01,2019,1,nuclear,3229000.0,8.3003
2019-01-01,2019,1,hydro,137000.0,0.3522
2019-01-01,2019,1,wind,6925000.0,17.8011
2019-01-01,2019,1,solar,298000.0,0.766
2019-01-01,2019,1,other,556000.0,1.4292
2019-02-01,2019,2,coal,7447000.0,21.8214
2019-02-01,2019,2,natural_gas,15586000.0,45.6706
2019-02-01,2019,2,nuclear,3430000.0,10.0507
2019-02-01,2019,2,hydro,220000.0,0.6447
2019-02-01,2019,2,wind,6639000.0,19.4538
2019-02-01,2019,2,solar,297000.0,0.8703
2019-02-01,2019,2,other,508000.0,1.4886
2019-03-01,2019,3,coal,7306000.0,20.523
2019-03-01,2019,3,natural_gas,16853000.0,47.3412
2019-03-01,2019,3,nuclear,3721000.0,10.4525
2019-03-01,2019,3,hydro,86000.0,0.2416
2019-03-01,2019,3,wind,6694000.0,18.8039
2019-03-01,2019,3,solar,365000.0,1.0253
2019-03-01,2019,3,other,574000.0,1.6124
2019-04-01,2019,4,coal,6027000.0,17.9231
2019-04-01,2019,4,natural_gas,15302000.0,45.5051
2019-04-01,2019,4,nuclear,3251000.0,9.6678
2019-04-01,2019,4,hydro,161000.0,0.4788
2019-04-01,2019,4,wind,7839000.0,23.3116
2019-04-01,2019,4,solar,515000.0,1.5315
2019-04-01,2019,4,other,532000.0,1.5821
2019-05-01,2019,5,coal,7859000.0,19.3872
2019-05-01,2019,5,natural_gas,20803000.0,51.3185
2019-05-01,2019,5,nuclear,2933000.0,7.2354
2019-05-01,2019,5,hydro,187000.0,0.4613
2019-05-01,2019,5,wind,7762000.0,19.1479
2019-05-01,2019,5,solar,493000.0,1.2162
2019-05-01,2019,5,other,500000.0,1.2334
2019-06-01,2019,6,coal,8396000.0,19.2031
2019-06-01,2019,6,natural_gas,24252000.0,55.4686
2019-06-01,2019,6,nuclear,3600000.0,8.2338
2019-06-01,2019,6,hydro,114000.0,0.2607
2019-06-01,2019,6,wind,6290000.0,14.3864
2019-06-01,2019,6,solar,575000.0,1.3151
2019-06-01,2019,6,other,495000.0,1.1322
2019-07-01,2019,7,coal,9137000.0,18.642
2019-07-01,2019,7,natural_gas,28137000.0,57.4072
2019-07-01,2019,7,nuclear,3704000.0,7.5572
2019-07-01,2019,7,hydro,180000.0,0.3672
2019-07-01,2019,7,wind,6731000.0,13.7331
2019-07-01,2019,7,solar,594000.0,1.2119
2019-07-01,2019,7,other,530000.0,1.0813
2019-08-01,2019,8,coal,8893000.0,17.3265
2019-08-01,2019,8,natural_gas,30948000.0,60.2969
2019-08-01,2019,8,nuclear,3690000.0,7.1893
2019-08-01,2019,8,hydro,82000.0,0.1598
2019-08-01,2019,8,wind,6489000.0,12.6427
2019-08-01,2019,8,solar,565000.0,1.1008
2019-08-01,2019,8,other,659000.0,1.2839
2019-09-01,2019,9,coal,8309000.0,18.0969
2019-09-01,2019,9,natural_gas,26426000.0,57.5554
2019-09-01,2019,9,nuclear,3581000.0,7.7994
2019-09-01,2019,9,hydro,87000.0,0.1895
2019-09-01,2019,9,wind,6517000.0,14.1939
2019-09-01,2019,9,solar,486000.0,1.0585
2019-09-01,2019,9,other,508000.0,1.1064
2019-10-01,2019,10,coal,7005000.0,18.1849
2019-10-01,2019,10,natural_gas,20152000.0,52.3143
2019-10-01,2019,10,nuclear,2872000.0,7.4557
2019-10-01,2019,10,hydro,82000.0,0.2129
2019-10-01,2019,10,wind,7455000.0,19.3531
2019-10-01,2019,10,solar,445000.0,1.1552
2019-10-01,2019,10,other,510000.0,1.324
2019-11-01,2019,11,coal,6786000.0,18.7474
2019-11-01,2019,11,natural_gas,17967000.0,49.6367
2019-11-01,2019,11,nuclear,3497000.0,9.661
2019-11-01,2019,11,hydro,76000.0,0.21
2019-11-01,2019,11,wind,6990000.0,19.311
2019-11-01,2019,11,solar,346000.0,0.9559
2019-11-01,2019,11,other,535000.0,1.478
2019-12-01,2019,12,coal,6275000.0,16.4383
2019-12-01,2019,12,natural_gas,19820000.0,51.9215
2019-12-01,2019,12,nuclear,3790000.0,9.9285
2019-12-01,2019,12,hydro,62000.0,0.1624
2019-12-01,2019,12,wind,7290000.0,19.0973
2019-12-01,2019,12,solar,386000.0,1.0112
2019-12-01,2019,12,other,550000.0,1.4408
2020-01-01,2020,1,coal,5291000.0,14.049
2020-01-01,2020,1,natural_gas,19635000.0,52.1362
2020-01-01,2020,1,nuclear,3712000.0,9.8564
2020-01-01,2020,1,hydro,57000.0,0.1514
2020-01-01,2020,1,wind,7976000.0,21.1784
2020-01-01,2020,1,solar,447000.0,1.1869
2020-01-01,2020,1,other,543000.0,1.4418
2020-02-01,2020,2,coal,4823000.0,13.4147
2020-02-01,2020,2,natural_gas,18716000.0,52.0569
2020-02-01,2020,2,nuclear,3548000.0,9.8684
2020-02-01,2020,2,hydro,112000.0,0.3115
2020-02-01,2020,2,wind,7714000.0,21.4558
2020-02-01,2020,2,solar,519000.0,1.4436
2020-02-01,2020,2,other,521000.0,1.4491
2020-03-01,2020,3,coal,4999000.0,14.1334
2020-03-01,2020,3,natural_gas,18314000.0,51.7783
2020-03-01,2020,3,nuclear,3187000.0,9.0105
2020-03-01,2020,3,hydro,106000.0,0.2997
2020-03-01,2020,3,wind,7699000.0,21.767
2020-03-01,2020,3,solar,564000.0,1.5946
2020-03-01,2020,3,other,501000.0,1.4165
2020-04-01,2020,4,coal,5532000.0,16.3379
2020-04-01,2020,4,natural_gas,16430000.0,48.5233
2020-04-01,2020,4,nuclear,2673000.0,7.8943
2020-04-01,2020,4,hydro,127000.0,0.3751
2020-04-01,2020,4,wind,7950000.0,23.479
2020-04-01,2020,4,solar,711000.0,2.0998
2020-04-01,2020,4,other,437000.0,1.2906
2020-05-01,2020,5,coal,5877000.0,15.1578
2020-05-01,2020,5,natural_gas,19612000.0,50.5829
2020-05-01,2020,5,nuclear,3386000.0,8.7331
2020-05-01,2020,5,hydro,139000.0,0.3585
2020-05-01,2020,5,wind,8314000.0,21.4433
2020-05-01,2020,5,solar,994000.0,2.5637
2020-05-01,2020,5,other,450000.0,1.1606
2020-06-01,2020,6,coal,6595000.0,15.0252
2020-06-01,2020,6,natural_gas,23211000.0,52.8809
2020-06-01,2020,6,nuclear,3613000.0,8.2314
2020-06-01,2020,6,hydro,65000.0,0.1481
2020-06-01,2020,6,wind,8859000.0,20.1832
2020-06-01,2020,6,solar,1072000.0,2.4423
2020-06-01,2020,6,other,478000.0,1.089
2020-07-01,2020,7,coal,8225000.0,16.4648
2020-07-01,2020,7,natural_gas,28837000.0,57.726
2020-07-01,2020,7,nuclear,3716000.0,7.4387
2020-07-01,2020,7,hydro,89000.0,0.1782
2020-07-01,2020,7,wind,7276000.0,14.5651
2020-07-01,2020,7,solar,1330000.0,2.6624
2020-07-01,2020,7,other,482000.0,0.9649
2020-08-01,2020,8,coal,9067000.0,18.2843
2020-08-01,2020,8,natural_gas,28215000.0,56.8977
2020-08-01,2020,8,nuclear,3697000.0,7.4553
2020-08-01,2020,8,hydro,71000.0,0.1432
2020-08-01,2020,8,wind,6689000.0,13.4889
2020-08-01,2020,8,solar,1238000.0,2.4965
2020-08-01,2020,8,other,612000.0,1.2341
2020-09-01,2020,9,coal,7441000.0,18.3384
2020-09-01,2020,9,natural_gas,22468000.0,55.3726
2020-09-01,2020,9,nuclear,3603000.0,8.8796
2020-09-01,2020,9,hydro,96000.0,0.2366
2020-09-01,2020,9,wind,5522000.0,13.609
2020-09-01,2020,9,solar,988000.0,2.4349
2020-09-01,2020,9,other,458000.0,1.1287
2020-10-01,2020,10,coal,6664000.0,17.254
2020-10-01,2020,10,natural_gas,19596000.0,50.7366
2020-10-01,2020,10,nuclear,3103000.0,8.0341
2020-10-01,2020,10,hydro,90000.0,0.233
2020-10-01,2020,10,wind,7838000.0,20.2936
2020-10-01,2020,10,solar,864000.0,2.237
2020-10-01,2020,10,other,468000.0,1.2117
2020-11-01,2020,11,coal,6539000.0,19.0814
2020-11-01,2020,11,natural_gas,15097000.0,44.0544
2020-11-01,2020,11,nuclear,3400000.0,9.9215
2020-11-01,2020,11,hydro,60000.0,0.1751
2020-11-01,2020,11,wind,7981000.0,23.2893
2020-11-01,2020,11,solar,713000.0,2.0806
2020-11-01,2020,11,other,479000.0,1.3978
2020-12-01,2020,12,coal,7774000.0,20.4692
2020-12-01,2020,12,natural_gas,16498000.0,43.4398
2020-12-01,2020,12,nuclear,3801000.0,10.0082
2020-12-01,2020,12,hydro,67000.0,0.1764
2020-12-01,2020,12,wind,8621000.0,22.6994
2020-12-01,2020,12,solar,712000.0,1.8747
2020-12-01,2020,12,other,506000.0,1.3323
2021-01-01,2021,1,coal,7959000.0,20.6288
2021-01-01,2021,1,natural_gas,17408000.0,45.1195
2021-01-01,2021,1,nuclear,3799000.0,9.8466
2021-01-01,2021,1,hydro,99000.0,0.2566
2021-01-01,2021,1,wind,8036000.0,20.8284
2021-01-01,2021,1,solar,814000.0,2.1098
2021-01-01,2021,1,other,467000.0,1.2104
2021-02-01,2021,2,coal,6812000.0,19.4152
2021-02-01,2021,2,natural_gas,17401000.0,49.5953
2021-02-01,2021,2,nuclear,3314000.0,9.4454
2021-02-01,2021,2,hydro,55000.0,0.1568
2021-02-01,2021,2,wind,6386000.0,18.201
2021-02-01,2021,2,solar,788000.0,2.2459
2021-02-01,2021,2,other,330000.0,0.9405
2021-03-01,2021,3,coal,4912000.0,14.4752
2021-03-01,2021,3,natural_gas,13082000.0,38.5513
2021-03-01,2021,3,nuclear,3369000.0,9.9281
2021-03-01,2021,3,hydro,89000.0,0.2623
2021-03-01,2021,3,wind,10970000.0,32.3275
2021-03-01,2021,3,solar,1184000.0,3.4891
2021-03-01,2021,3,other,328000.0,0.9666
2021-04-01,2021,4,coal,5387000.0,15.3244
2021-04-01,2021,4,natural_gas,15679000.0,44.6022
2021-04-01,2021,4,nuclear,2986000.0,8.4943
2021-04-01,2021,4,hydro,83000.0,0.2361
2021-04-01,2021,4,wind,9518000.0,27.0759
